type,kex,leaf,int,root,cached_int,rtt,drop_rate,rate,measurements,name,client emitted ch,client emitted ch stdev,client derived ephemeral keys,client derived ephemeral keys stdev,client received sh,client received sh stdev,client encapsulating to server,client encapsulating to server stdev,client submitted ckex to server,client submitted ckex to server stdev,client switched to ahs keys,client switched to ahs keys stdev,client client encrypting traffic,client client encrypting traffic stdev,client authenticated server,client authenticated server stdev,client handshake completed,client handshake completed stdev,client received server reply,client received server reply stdev,server encapsulated ephemeral,server encapsulated ephemeral stdev,server emitted sh,server emitted sh stdev,server derived ephemeral keys,server derived ephemeral keys stdev,server sent certificate,server sent certificate stdev,server received ckex,server received ckex stdev,server decapsulated ckex,server decapsulated ckex stdev,server switched to ahs keys,server switched to ahs keys stdev,server emitted sf,server emitted sf stdev,server server encrypting traffic,server server encrypting traffic stdev,server server reading traffic,server server reading traffic stdev,server handshake completed,server handshake completed stdev
sign,kyber512,SphincsSha256128fSimple,SphincsSha256128fSimple,,True,41.918,0,10mbit,20000,KSS,50.6164965,29.17750653946599,225153.79648575,80870.0469229451,225072.3345671,80861.16333318496,,,,,,,,,481778.5318694,92152.8364706763,481834.4526545,92153.5325647735,637413.09542635,40034.87988107176,91.28021155,366.5021246978645,106.89639405,432.5032371010458,126.8788109,459.3663241967978,,,,,,,,,22368.25643655,8762.55664426378,133.18994735,491.7393910497416,,,416531.760078,113953.6829788981
sign,kyber512,SphincsSha256128fSimple,SphincsSha256128fSimple,,True,210.618,0,1000mbit,20000,KSS,55.9323609,140.1111981556734,433540.9122148,27628.924446717978,433467.59973145,27627.071855169586,,,,,,,,,644263.74284925,35122.048034348096,644433.14003845,35181.650676324316,851221.6513464,40540.04126752778,105.65198975,426.72831789374885,118.6005973,439.2763155079951,138.2093983,449.3535591721708,,,,,,,,,18046.0121147,4372.160275861938,140.3524999,452.8283120628366,,,432672.20549615,28710.742611729587
sign,kyber512,SphincsSha256128fSimple,SphincsSha256128fSimple,,True,41.918,0,1000mbit,20000,KSS,41.02041975,17.849590072596847,81756.49448685,4775.930840397026,81694.57421,4774.577260023061,,,,,,,,,118350.8951925,5395.723792547817,118476.54784555,5458.608152279848,151322.9208893,6011.535838976911,70.31457495,117.63083585895676,79.2215544,128.88010136106615,94.29102965,135.19253929840272,,,,,,,,,16744.1170861,3220.390087359507,95.7358182,140.09324421835777,,,86480.871184,4895.72623863122
sign,kyber512,SphincsSha256128fSimple,SphincsSha256128fSimple,,True,210.618,0,10mbit,20000,KSS,52.6679664,32.172282731967904,471098.67453705,49384.65942333161,471011.68433635,49380.17212358305,,,,,,,,,753212.5397685,60078.79723988066,753276.60745735,60089.64062565091,980030.3774825,63910.26881747956,89.5031799,217.9527132250685,100.5160352,218.9083954071407,118.7686939,223.55309244403972,,,,,,,,,17266.6593278,3584.937071110613,120.575469,226.2209126965069,,,541853.9634543,57231.37389791461
kem,kyber512,kyber512,SphincsSha256128fSimple,Gemss128,False,41.918,0,10mbit,20000,KKSG,45.57526605,28.869465371961958,169965.4047296,38354.63347574937,169886.1032864,38344.75379924807,254482.1720033,35170.30801974174,254533.6358614,35173.766477708,254549.5032096,35174.15872458311,254562.79386805,35174.68176074223,344039.10090345,30841.80984674,344085.4117857,30854.394542782557,344093.5425563,30856.343427733347,68.3456814,32.50544945031206,80.1882138,37.627482363574906,103.14423725,44.91265900602092,174.52685045,58.8885444117218,166444.2852194,37232.11619201175,166488.5173793,37233.6201590892,166505.00752,37234.03943078634,,,,,166515.3453317,37234.22181769871,166530.3901823,37234.52824482224
kem,kyber512,kyber512,SphincsSha256128fSimple,Gemss128,False,210.618,0,1000mbit,20000,KKSG,50.96807485,28.017738717280327,427015.5524395,31878.99092199643,426890.72880975,31873.681301294204,644631.54730505,39306.41675590449,644863.712834,39328.86299339281,644889.73987005,39329.47607058602,644911.76615,39329.11661003303,853689.9190831,44954.124282752804,853747.69643925,44958.254024272275,853759.9464044,44958.91023193564,73.7945208,40.31111688989295,84.3377992,43.203058729635785,106.48647725,49.38455616842354,186.63191565,71.57862999464386,429886.69883685,31940.676527470034,429933.84270435,31943.119631484646,429952.16226845,31944.39647749535,,,,,429963.39961265,31944.87975730012,429980.07928775,31945.833763257036
kem,kyber512,kyber512,SphincsSha256128fSimple,Gemss128,False,210.618,0,10mbit,20000,KKSG,49.3347518,23.436385070977916,434279.23099245,41467.01966091143,434190.7264117,41455.20386516189,651468.9693859,49778.90875153101,651523.6687667,49780.534918025645,651540.62879315,49781.212075827105,651554.50146235,49781.965040457326,867779.3899957,60548.63857563059,867818.3000008,60557.175353879415,867824.2441453,60559.48922286013,76.49954375,44.07614239898978,88.92280555,49.96981963049731,113.2667766,68.37086030705807,189.1671841,86.06675608317268,438526.74917425,39873.880363880235,438580.25224775,39877.09451124291,438598.9342129,39878.460807255695,,,,,438610.4438398,39879.08491899365,438627.0731995,39879.90880153261
kem,kyber512,kyber512,SphincsSha256128fSimple,Gemss128,False,41.918,0,1000mbit,20000,KKSG,42.8274495,36.767646060214275,66405.9006914,9468.358581574688,66304.8594084,9459.67760611208,102240.5237174,12377.034570943282,102309.26968205,12380.522826534669,102327.4935143,12380.711154151695,102343.0497177,12380.857338073336,135698.0240272,14950.772599838001,135739.84090215,14954.036029527379,135749.19509595,14954.466385571925,62.02254105,28.02417036508927,71.78703095,30.49359208353617,91.7212135,34.239568291651366,161.49015235,57.64927025540209,69546.83878535,10814.847085940617,69583.94106355,10815.33358858117,69599.3889581,10815.457356959218,,,,,69608.8995022,10815.638266408887,69622.88218585,10815.847160688156
kem,kyber512,kyber512,SphincsSha256128fSimple,,True,41.918,0,10mbit,20000,KKS,45.35197165,42.900352857414944,168962.23757265,39581.17983646059,168883.26418715,39567.745975071695,252949.4230822,36901.35094954709,253001.8652888,36904.81804796378,253018.12683195,36905.473613341535,253031.5944102,36906.07816866655,341658.8839282,31036.324557765583,341705.63250775,31049.379280434885,341713.4296511,31051.252254683543,66.83912765,34.26834686671804,78.4935965,38.27885663113434,101.1287899,44.669611606788266,171.154711,58.494553403415026,165520.29695805,38436.690750500195,165563.3958462,38438.304296595554,165579.7042637,38438.96147376456,,,,,165589.87269975,38439.37124756332,165604.7088674,38439.63595398998
kem,kyber512,kyber512,SphincsSha256128fSimple,,True,41.918,0,1000mbit,20000,KKS,42.0077028,23.5888276012152,66660.19697215,10968.090775937118,66559.41177555,10963.959255411692,102344.6825079,13739.987298929524,102406.11520785,13740.308443489517,102424.4895448,13740.37951312322,102440.13552285,13740.566277087408,135750.0681583,16049.103501966669,135790.92792275,16050.88679550345,135800.4401467,16051.36276854288,60.7283035,30.74286847704517,70.4539016,36.083188165786126,90.1560484,39.58942561338668,158.633003,49.59659750894828,69499.36200105,11696.101908282635,69535.57164535,11696.397337337876,69550.99954595,11696.61343226476,,,,,69560.44299315,11696.74957024247,69574.30279095,11696.95912901171
