type,kex,leaf,int,root,cached_int,rtt,drop_rate,rate,measurements,name,client emitted ch,client emitted ch stdev,client derived ephemeral keys,client derived ephemeral keys stdev,client received sh,client received sh stdev,client encapsulating to server,client encapsulating to server stdev,client submitted ckex to server,client submitted ckex to server stdev,client switched to ahs keys,client switched to ahs keys stdev,client client encrypting traffic,client client encrypting traffic stdev,client authenticated server,client authenticated server stdev,client handshake completed,client handshake completed stdev,client received server reply,client received server reply stdev,server encapsulated ephemeral,server encapsulated ephemeral stdev,server emitted sh,server emitted sh stdev,server derived ephemeral keys,server derived ephemeral keys stdev,server sent certificate,server sent certificate stdev,server received ckex,server received ckex stdev,server decapsulated ckex,server decapsulated ckex stdev,server switched to ahs keys,server switched to ahs keys stdev,server emitted sf,server emitted sf stdev,server server encrypting traffic,server server encrypting traffic stdev,server server reading traffic,server server reading traffic stdev,server handshake completed,server handshake completed stdev
sign,kyber512,SphincsSha256128fSimple,SphincsSha256128fSimple,,True,40.384,0,10mbit,20000,KSS,55.31827735,32.51944017171084,229510.28871375,77781.59272768443,229411.99314855,77776.14608005183,,,,,,,,,482333.0685342,91199.78050374871,482390.10809895,91199.08027340418,637491.02258445,37722.060565429856,103.24282945,456.72559154193783,119.83726545,509.4411810811243,140.7818178,532.6012709857755,,,,,,,,,24126.42438845,9979.237596859926,150.26610015,592.1686717795509,,,415265.43369725,116399.52208785378
sign,kyber512,SphincsSha256128fSimple,SphincsSha256128fSimple,,True,215.666,0,10mbit,20000,KSS,58.34224995,107.35051090513615,466371.7852504,42300.42893496101,466282.0166043,42296.559715474126,,,,,,,,,749920.69843835,53137.3871049682,749977.8429444,53143.13453473564,973992.76921425,52654.534714524125,87.5800598,51.84948174400184,98.396109,54.73365734682953,116.8328437,58.28772254418798,,,,,,,,,17253.82224195,3815.5440347438976,118.3308507,59.23996949688453,,,541319.20883135,54429.02556291152
sign,kyber512,SphincsSha256128fSimple,SphincsSha256128fSimple,,True,215.666,0,1000mbit,20000,KSS,55.8291671,26.681495178859947,433753.8490307,26514.94540277714,433679.43069515,26514.914112891332,,,,,,,,,644394.31606655,32778.65014501914,644642.38181665,32816.109526834975,851339.2749731,38254.15061312768,105.0409541,311.0374160064483,116.58342985,318.3109709833585,136.64511495,326.46026154981575,,,,,,,,,17869.07668995,3792.292919280925,137.96313895,326.90917496236364,,,432566.48200195,25366.407160631315
sign,kyber512,SphincsSha256128fSimple,SphincsSha256128fSimple,,True,37.900,0,10mbit,20000,KSS,51.9564662,22.884473613471773,227177.14400925,78730.4988780809,227086.8201162,78726.29135810827,,,,,,,,,483247.20952565,91554.85811166784,483300.6107038,91554.09535305109,639106.15122585,36890.683279516845,96.6010642,371.6904519372034,111.31086715,411.2681659023881,129.41351875,419.2006587384641,,,,,,,,,23282.647271,9472.649368304857,136.7448873,465.4014583123148,,,417970.2556072,115834.80556516202
sign,kyber512,SphincsSha256128fSimple,SphincsSha256128fSimple,,True,209.126,0,1000mbit,20000,KSS,59.2662154,176.13812775526216,434876.7716927,25782.407486690805,434798.55830325,25779.613846608976,,,,,,,,,645689.481428,31869.945432283217,645884.5224383,31924.452914330035,853360.0121885,37515.52471728291,111.69070645,434.31639722688317,123.417202,437.3848663057343,143.26654945,440.45517886720074,,,,,,,,,18112.02123015,4232.921624675981,145.60676445000001,451.9827903563067,,,433203.05213895,25249.962507120457
sign,kyber512,SphincsSha256128fSimple,SphincsSha256128fSimple,,True,37.900,0,1000mbit,20000,KSS,46.2188141,46.47208616770588,82038.64057215,4618.247947761454,81971.68952585,4617.4528354940885,,,,,,,,,118830.518741,5358.961412626993,118942.9758594,5417.609059804849,151804.46879855,5930.391391465651,73.56599435,40.36974365536593,82.2199078,41.754705707789824,97.6594959,43.38271088937261,,,,,,,,,17106.83302745,3360.6439326073746,98.7729245,43.92423965624298,,,87024.84287255,4928.065093618046
sign,kyber512,SphincsSha256128fSimple,SphincsSha256128fSimple,,True,209.126,0,10mbit,20000,KSS,60.8849744,111.620813045527,465850.2061792,41023.540431996444,465751.4180887,41020.97290117656,,,,,,,,,752431.2235847,54827.306626884056,752494.3668353,54836.89251340338,977719.07878975,54080.47506953004,91.73327125,123.53233528062265,102.4413553,124.97183646925849,120.7222803,126.52456745542194,,,,,,,,,17451.28336205,4384.0424676667835,121.9740801,126.9433022937892,,,545101.24813295,55700.370720212035
sign,kyber512,SphincsSha256128fSimple,SphincsSha256128fSimple,,True,40.384,0,1000mbit,20000,KSS,60.21973555,87.4081023984897,85435.0685947,7339.822644757635,85346.0691633,7336.601886439725,,,,,,,,,122791.5361234,7991.445022223648,122968.87870445,8090.701586264807,156179.4735403,8522.78180421821,95.30320945,96.46890120177245,106.85418085,115.10336493446968,125.4544906,122.52784927817247,,,,,,,,,20041.0858147,6245.508026904149,126.975805,124.33229280820338,,,90922.6520559,7717.435360299307
kem,kyber512,kyber512,SphincsSha256128fSimple,RainbowIaCyclic,False,215.666,0,1000mbit,20000,KKSR,51.44982515,23.49653215697899,428876.72660185,28677.291132465954,428755.3812666,28672.850110863066,647388.07235885,36693.12354153571,647706.34675215,36723.34700969721,647733.30836545,36723.10052730039,647757.26163275,36722.47245899458,857735.43813885,42267.49386674248,857795.17243725,42271.518759294704,857808.09880515,42272.371608208356,74.7212575,40.53854713942031,85.3437971,65.23186252299517,106.36712955,68.66618042608954,183.1948061,80.87604235266545,432484.84848795,30313.52844657314,432532.56046695,30315.526428217177,432550.7727554,30315.957979527167,,,,,432561.9169452,30316.299565728154,432578.01816115,30316.687370236126
kem,kyber512,kyber512,SphincsSha256128fSimple,RainbowIaCyclic,False,209.126,0,10mbit,20000,KKSR,56.4742286,26.461299999628242,436962.0215104,38256.08165145874,436861.5902919,38243.91564976886,655417.94750985,45850.79372410172,655477.54320995,45851.35770638012,655495.35148735,45851.76463081742,655510.48279305,45852.03599790242,872528.83853945,55903.522823445215,872570.4784789,55912.1897239714,872576.52024295,55914.086646957956,87.62616155,46.175878605541456,101.2484124,51.05409180614159,126.4403966,58.66752878206545,205.6356951,85.27539367711518,441382.47714355,36634.68015239538,441442.51377890003,36636.49635204463,441461.5272696,36637.39934107789,,,,,441473.48625555,36637.92242178369,441490.27174015,36638.25428060732
kem,kyber512,kyber512,SphincsSha256128fSimple,RainbowIaCyclic,False,37.900,0,10mbit,20000,KKSR,49.11621595,27.9662717303655,170550.3204543,38770.110523079835,170463.45932525,38756.27558108341,255678.36451085,35084.61316880051,255729.84644405,35086.913872110454,255745.90634305,35087.32300485487,255759.884263,35087.554774654636,345664.2139585,31559.601359030945,345712.54449275,31572.127445861068,345719.77664635,31573.524863832845,73.14549495,32.117627714505545,85.65384845,36.22676590222303,108.88108165,45.454101010629586,180.5288068,59.21012515398875,168091.6623617,38473.59645521803,168138.7571815,38476.255024316466,168155.50222055,38476.857664888645,,,,,168166.06831955,38477.05377487711,168180.88516895,38477.40069451786
kem,kyber512,kyber512,SphincsSha256128fSimple,RainbowIaCyclic,False,209.126,0,1000mbit,20000,KKSR,51.19023,42.342740707951734,430146.47074715,29794.938024978754,430026.5490723,29791.186140314734,648973.7974907,36999.43686647147,649380.2574938,37011.05831466184,649410.45244885,37010.87287906975,649437.7479695,37013.080608440076,860189.81996925,43814.4786633191,860246.700059,43818.54582929105,860257.7752503,43819.5814622773,73.3050951,42.36706432608632,83.3824527,44.66920887890848,104.34831735,49.57648023347519,180.8644606,79.14638884928448,431823.55862285,28564.1909701432,431869.68543155,28566.091422924514,431887.32644905,28566.679635557073,,,,,431898.24901385,28566.935314246053,431914.1776276,28567.036512381583
kem,kyber512,kyber512,SphincsSha256128fSimple,RainbowIaCyclic,False,40.384,0,1000mbit,20000,KKSR,52.39036915,32.27585668651757,66945.8822328,10725.564560946681,66810.8823483,10721.61609024497,102786.0075842,13072.670222154942,102868.261939,13076.800641634978,102888.7573107,13077.513757900968,102904.9591982,13077.72410526238,136337.7487048,15799.102837360535,136393.6806674,15802.98488934771,136403.57650545,15803.741915338322,85.99083365,54.57377020314784,97.80140265,62.548235598764485,120.27727525,75.3755671733442,195.5502229,102.01399306045579,69967.86769155,11782.151615849827,70019.3958699,11782.389829758356,70037.495934,11782.509086167818,,,,,70048.8461152,11782.591961198475,70064.71855635,11782.613293831591
kem,kyber512,kyber512,SphincsSha256128fSimple,RainbowIaCyclic,False,40.384,0,10mbit,20000,KKSR,58.46305685,40.67087553958945,169778.09538305,36438.78533175562,169667.5714123,36426.19303203346,253476.5717921,33728.05558834682,253543.094278,33730.326469976746,253560.38767915,33730.80484929171,253574.0573104,33731.087287835275,343162.20284785,28742.37539195018,343216.102114,28755.584431143532,343223.244829,28757.00561039447,88.9144248,59.597333746593314,102.84126465,68.37175598473635,127.5053483,81.92020204548842,201.61166625,107.47114730274953,164788.4097296,35160.94796151515,164852.98146865,35162.18302707044,164871.75593155,35162.362000604204,,,,,164883.4683575,35162.34965367826,164899.6384381,35162.27573360515
kem,kyber512,kyber512,SphincsSha256128fSimple,RainbowIaCyclic,False,37.900,0,1000mbit,20000,KKSR,45.84398795,54.716712030268916,66612.06203705,9670.974747413164,66501.0371178,9666.270947138517,102675.6260735,12859.375252005993,102748.48118845,12863.513286789073,102767.41628695,12863.364920137525,102783.21150195,12863.50384638588,136452.11073325,16247.37508256189,136498.3899077,16249.482769092989,136507.1436428,16249.65856207127,69.6512948,33.3347387540488,79.71265275,36.08019562033675,99.3108225,39.48113592807839,167.562869,48.85001353798453,70113.65699625,12264.989642345008,70154.70640155,12265.65700856095,70170.14017405,12265.883617147942,,,,,70179.7816356,12265.972909302176,70193.4825745,12266.236925526488
kem,kyber512,kyber512,SphincsSha256128fSimple,RainbowIaCyclic,False,215.666,0,10mbit,20000,KKSR,54.80153785,22.5617259541545,433989.99278785,35572.74261878994,433894.2506249,35562.44224842396,651719.18431595,43477.12536691657,651777.13666545,43477.38114463475,651794.97896535,43477.92813063848,651810.0925645,43478.51247506461,867482.2114167,52861.8465967375,867522.2668966,52870.220190521824,867528.06266235,52871.9473031447,86.10368255,44.944970986776994,99.76523255,50.50606338360866,124.95993505,57.4091957082402,204.1261276,72.49607200062907,439650.88866255,35570.893886874255,439709.38697095,35572.34036923334,439728.40660415,35572.97083928099,,,,,439740.7596158,35573.42700072568,439757.66182235,35573.56485463198
kem,kyber512,kyber512,SphincsSha256128fSimple,,True,215.666,0,1000mbit,20000,KKS,51.101658,43.17815600643851,427348.82392625,28319.890673602295,427225.0186638,28317.37197702728,646535.2850092,36246.30840749905,646877.80759405,36268.255469930744,646905.2751037,36268.161232378596,646929.89012185,36268.980459305254,857329.9254587,42089.917996654556,857389.04482525,42091.54064137028,857401.176773,42092.27374158147,74.25155245,43.21063382732122,84.6836775,48.403623290012845,106.10139075,55.65041231685904,182.36091035,76.17963385826525,432789.1104066,28346.327272537834,432836.2137457,28349.093228618127,432854.112963,28349.693197434004,,,,,432864.7619625,28349.930184509736,432880.63437505,28350.131588315602
