type,kex,leaf,int,root,cached_int,rtt,drop_rate,rate,measurements,name,client emitted ch,client emitted ch stdev,client derived ephemeral keys,client derived ephemeral keys stdev,client received sh,client received sh stdev,client encapsulating to server,client encapsulating to server stdev,client submitted ckex to server,client submitted ckex to server stdev,client switched to ahs keys,client switched to ahs keys stdev,client client encrypting traffic,client client encrypting traffic stdev,client authenticated server,client authenticated server stdev,client handshake completed,client handshake completed stdev,client received server reply,client received server reply stdev,server encapsulated ephemeral,server encapsulated ephemeral stdev,server emitted sh,server emitted sh stdev,server derived ephemeral keys,server derived ephemeral keys stdev,server sent certificate,server sent certificate stdev,server received ckex,server received ckex stdev,server decapsulated ckex,server decapsulated ckex stdev,server switched to ahs keys,server switched to ahs keys stdev,server emitted sf,server emitted sf stdev,server server encrypting traffic,server server encrypting traffic stdev,server server reading traffic,server server reading traffic stdev,server handshake completed,server handshake completed stdev
sign,kyber512,SphincsSha256128fSimple,SphincsSha256128fSimple,,True,208.598,0,10mbit,20000,KSS,52.14996225,36.14880429927439,467154.6287227,45873.90662206699,467071.52581315,45871.63819108644,,,,,,,,,747447.1401635,54135.16886050935,747504.99577325,54143.563996316036,972053.64343745,54681.497192679344,85.16390815,82.30373867810583,96.31446835,92.82950738279959,114.0721362,95.08045935487958,,,,,,,,,17054.27979285,3433.1104006474025,115.6065874,95.82676692500027,,,537882.4749396,51302.84039564302
sign,kyber512,SphincsSha256128fSimple,SphincsSha256128fSimple,,True,208.598,0,1000mbit,20000,KSS,54.1958115,89.3207293368361,430965.76696255,25518.215947542838,430891.78320585,25516.250762485797,,,,,,,,,640254.0619157,31043.844665334625,640461.5498649,31083.593223091357,845701.32560865,36398.83567940375,97.4578886,224.17918145583502,108.96047255,229.06093282546698,128.0531307,239.90574248188165,,,,,,,,,18162.2410093,4451.527272709854,130.4593988,250.58210774719274,,,430933.73601545,25530.60333938498
sign,kyber512,SphincsSha256128fSimple,SphincsSha256128fSimple,,True,36.592,0,1000mbit,20000,KSS,41.03680125,36.66387179783402,81675.46527305,4633.133349903542,81614.2059991,4632.350219758456,,,,,,,,,118272.515814,5357.618098320162,118394.98981025,5431.09128665474,151204.62611235,5842.503520095083,68.34129265,77.99501045496885,76.74678695,78.69003187172285,91.4560532,79.4427185329824,,,,,,,,,16811.2479448,3408.6077936307847,92.5721053,79.94803255876978,,,86480.1220069,4953.753973941502
sign,kyber512,SphincsSha256128fSimple,SphincsSha256128fSimple,,True,36.592,0,10mbit,20000,KSS,51.4582024,72.49552767507164,227022.2391476,82136.68091089097,226942.5166826,82133.54824623608,,,,,,,,,479074.2791868,90637.58868911528,479131.10954835,90637.42811544884,633507.69884315,39441.86804808276,90.66693735,327.95384146012753,105.16297585,373.277854401516,124.1844051,398.14175872995304,,,,,,,,,21820.62182965,8417.45331134953,131.8984871,449.7243851581573,,,410977.251492,112586.10159568494
kem,kyber512,kyber512,SphincsSha256128fSimple,XMSS,False,36.592,0,10mbit,20000,KKSX,45.2832448,22.940548313957542,181849.90140815,40363.797541772,181770.2309722,40352.028852718424,271269.02047625,35810.32125968676,271321.0465067,35814.55187824479,271336.39381145,35814.73173842095,271348.8686738,35814.69450189347,361039.67092445,30685.6271917203,361099.1924986,30701.169134005257,361108.7724509,30703.13580930274,69.6879229,31.14524828066681,81.2978434,35.36164830773629,103.7434469,49.6337669916446,178.88761965,64.22599695733841,172228.7280577,37252.56026239968,172273.85625615,37253.84044498748,172289.98668445,37254.1508945909,,,,,172299.80083105,37254.236655811925,172314.06879895,37254.40566082903
kem,kyber512,kyber512,SphincsSha256128fSimple,XMSS,False,208.598,0,1000mbit,20000,KKSX,49.37289375,23.010321776265393,418606.10544575,30654.379474555888,418501.95811525,30649.928479814076,642512.51391825,37460.696848207815,642780.0007836,37471.659453790744,642800.85337335,37472.770723497975,642816.7111222,37472.67019245152,848881.2652883,43648.7963870028,848927.910718,43651.31993225195,848938.04921365,43652.6582874132,78.2657851,41.95542037200137,89.2176015,45.70371937408737,111.5679625,53.801370715221886,195.0073583,90.58065965800495,431649.9234769,30088.17027942117,431697.83120625,30089.432949536153,431715.4509554,30089.74469069203,,,,,431726.9940255,30090.859807372908,431743.04553175,30091.297468180153
kem,kyber512,kyber512,SphincsSha256128fSimple,XMSS,False,208.598,0,10mbit,20000,KKSX,50.1237554,25.14070851625518,432305.0177038,39565.86572924005,432219.62238745,39557.01837632283,656861.04848405,47255.37463947874,656913.9044769,47256.54034393874,656929.7103481,47256.62120487946,656941.97061825,47256.72565660409,871370.2529067,57129.37843755031,871407.13200785,57138.24593254032,871412.7569286,57140.19571483606,82.57400655000001,56.904606187756684,95.75508405,61.852817857314555,120.52100195,69.15606901307731,201.15158615,92.0001406136742,443751.9187245,36825.89431039128,443806.80013155,36826.86701683974,443825.9574502,36828.27465013556,,,,,443837.81694825,36828.596978333924,443854.5192301,36829.11867304865
kem,kyber512,kyber512,SphincsSha256128fSimple,XMSS,False,36.592,0,1000mbit,20000,KKSX,40.4784368,21.44032459935838,65837.7775356,6219.261641470934,65756.0816809,6214.032362086138,108580.82906295,7969.553320657977,108673.64750095,7991.100409769742,108694.7402998,7992.39187592846,108711.34411105,7993.825720401394,141631.28483835,9422.391364401254,141665.97068855,9427.6693595641,141673.3509072,9428.466106767833,61.32262715,20.830905288760025,71.20748165,23.979368690424334,90.72383305,27.90372904548799,161.5349234,46.07299113007984,76232.63952685,7152.763568845593,76270.29757285,7153.41596099995,76284.85966695,7153.7970402273695,,,,,76293.72749085,7154.110094771029,76306.85958465,7154.729974184798
kem,kyber512,kyber512,SphincsSha256128fSimple,,True,208.598,0,10mbit,20000,KKS,49.37111145,32.57675199787212,433329.10217505,42168.635638285945,433240.99673575,42157.77376260741,650244.39260105,50820.438227217506,650299.12790865,50821.66311526031,650316.09516855,50822.26225011073,650330.0615834,50822.93523234182,865378.4051133,62269.30604174455,865415.2604655,62279.519356076766,865420.9204504,62281.73077674407,79.100689,44.007108634781936,91.48843145,48.89584036044302,115.0547277,56.2439661149769,189.30540025,72.74590432520827,438181.30288705,40625.331384211495,438235.3443574,40627.19764622875,438253.94509605,40628.25565308756,,,,,438265.35789445,40628.97099373523,438281.5618138,40629.926435460635
kem,kyber512,kyber512,SphincsSha256128fSimple,,True,36.592,0,1000mbit,20000,KKS,42.6301503,19.735777325206662,67603.09999235,15954.454016380625,67501.70719745,15947.144655822289,103949.6608314,20543.706302516715,104016.51627955,20546.567500607103,104034.80015915,20546.88444431111,104050.66889445,20547.237846205455,137823.36892695,24006.457792754918,137864.149915,24008.65812255907,137873.8786148,24009.029032475017,63.49841445,26.325689538026612,73.18758475,28.736939324221773,92.81977545,33.60806682700032,161.4718024,45.68867479448466,70721.7002659,18034.05842476474,70759.63818125,18034.79849589169,70774.67063675,18035.136900076457,,,,,70784.16277315,18035.245592035153,70798.20062765,18035.3692532599
kem,kyber512,kyber512,SphincsSha256128fSimple,,True,36.592,0,10mbit,20000,KKS,45.41082085,27.295015776926533,168949.90367525,39391.104003906235,168869.60415665,39377.42126535016,252631.53291145,37160.232889934254,252684.1382292,37163.279862050746,252700.07533275,37163.581445428346,252713.4818638,37163.87065146007,341832.68739545,34518.80756932871,341877.88541095,34528.36912600439,341885.7387387,34530.502781800664,69.7526728,32.29878407423682,81.6333029,36.57249486299337,104.00242005,43.03450236733554,173.648202,56.48919841511096,165197.68116495,39433.660276898154,165242.6659518,39435.65378174011,165258.9832416,39436.20570534442,,,,,165269.1729406,39436.48236854485,165283.99441635,39436.8979917503
kem,kyber512,kyber512,SphincsSha256128fSimple,,True,208.598,0,1000mbit,20000,KKS,50.93712065,63.20833096206183,421811.168324,30437.420460037236,421692.53925165,30433.572473342,636184.9901075,36810.98745053662,636477.2551257,36835.49101911254,636505.16019235,36834.626135201615,636530.445341,36835.21841803667,844659.6236321,42248.373097482436,844714.9528337,42251.021834231135,844727.6384858,42251.91172481213,75.63602155,42.08088656166451,86.24877735,45.931629063322994,108.1197517,61.029668393848084,186.12963,79.53283314474407,424894.8755541,30891.67648038338,424942.42256065,30894.72141125694,424960.37916095,30895.640596437235,,,,,424971.54486575,30896.047132632066,424987.9151195,30896.566482398135
sign,kyber512,SphincsSha256128fSimple,SphincsSha256128fSimple,XMSS,False,36.592,0,1000mbit,20000,KSSX,41.48699735,46.26517560195591,84860.93807,8197.797431047926,84799.07368185,8196.162125267398,,,,,,,,,131015.9606408,10449.38961499802,131226.19904755,10569.377046304025,165052.12196145,11389.911342635432,68.92576525,96.219727429738,77.35106405,98.04151535177213,92.1260898,98.69634770731881,,,,,,,,,19077.4213484,6054.136173082379,93.0987063,98.88763668163207,,,98865.2240355,9882.432363167502
sign,kyber512,SphincsSha256128fSimple,SphincsSha256128fSimple,XMSS,False,36.592,0,10mbit,20000,KSSX,50.0191988,40.92954686308413,265991.55311155,79800.20963448838,265914.9266205,79796.53823849089,,,,,,,,,479208.57620635,70567.35789187234,479264.03483335,70563.22038601512,626576.3010462,36470.82829888443,79.16944035,65.27410977027459,88.94688515,67.44931470070203,105.5845323,76.66108083231788,,,,,,,,,18969.12297155,6069.326030656267,106.96014335,77.33553685759512,,,370669.2957005,94309.59759837887
sign,kyber512,SphincsSha256128fSimple,SphincsSha256128fSimple,XMSS,False,208.598,0,1000mbit,20000,KSSX,52.92545225,141.00498257382063,431413.323983,26820.816136870726,431342.17487805,26820.870377944702,,,,,,,,,650345.6772184001,32799.55993729852,650453.08071795,32821.55635932532,854218.65559985,36943.07447681212,89.7644786,127.8641797136455,100.68960555,143.51718114699534,119.0006917,150.33028246765684,,,,,,,,,18458.4848698,4309.230677741788,120.17418135,150.61910052002813,,,439749.54488015,26205.228386270548
sign,kyber512,SphincsSha256128fSimple,SphincsSha256128fSimple,XMSS,False,208.598,0,10mbit,20000,KSSX,52.9789039,23.882815762143736,465593.9516676,47597.170742847455,465511.46157,47595.19925205468,,,,,,,,,730429.1918786,55607.78868362948,730478.38683645,55611.868960018044,949169.9117524,60942.77596015814,87.87275495,45.325698811230005,99.067073,50.08741034377519,117.07504465,54.99461057330129,,,,,,,,,16758.0071312,3009.7389136172455,118.60010435,56.08218062583024,,,514299.91367535,49638.654135536584
